Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
كيف الصيام معك؟,الحمدلله. متعب شوي بس تمام,ايه اخبار الصيام معاك؟,الحمدلله. متعب شوية بس تمام,أنا ما أدري ليش تزوجته,إيش المشكلة؟
ايا ساعة حتفيق بكرا؟,ما بعرف. ليش عم تسأل ؟,حتصحى بكرا الساعة كام؟,ماعرفش. ليه بتسأل ؟,ليش الزعل؟,يولد تعبت من الشغل. ما أقدر أتحمل الخياس السياسي أكثر من كذا.
شو حتعمل بس يخلص هالفصل؟,عندي تدريب صيفي,حتعمل ايه لما تخلص الفصل ده؟,عندي تدريب صيفي,أنت مرة محترف...,طيب ليش الوجه مايل يمين؟
مبروك التخرج يا باش مهندس!,حبيبي عقبال عندك,مبروك التخرج يا باش مهندس!,حبيبي عقبال عندك,لسا في تذاكر لحفلة اليوم؟,"آسف يا سيد، انباعت كل التذاكر."
مبين نصحان!,ايه عالحجر,باين تخنان,اه من الحجر,عادل يشرب كثير؟,"إيوة. بس أنا  أنصحه أنو ما يشرب كثير، هو يتفاخر بقدرته على الشرب وـنو محد خلاه يسكر معاه من قبل."
فيك تخبرني اكثر عن حفلة الربيع؟,حنتجمع كلنا اول شهر اربعة. بتحب تجي؟,ممكن تقلي اكتر عن حفلة الربيع,حنتجمع كلنا اول شهر اربعة. تحب تيجي؟,أنت تعرض دورات في إدارة الأعمال؟,نعم.
قررت وقف تدخين,لك برافو عفاك!,قررت اوقف تدخين,يا عم برافو!,كم راكب في السفينة؟,أظن ستة وسبعين.
عرفت مين حيتجوز؟,لا ما عرفت. مين؟,عرفت حيتجوز مين؟,لا ماعرفش. مين؟,كيف جدولك هذي السنة؟,مرَّة مشغول. لازم اجمع اعتمادات كثير السنة ذي.
ما تخلي ببالك شي وما تعصب,ايه ما في شي مستاهل,ماتخليش في بالك حاجة و متتعصبش,ايه مافيش حاجة مستهلة,"تمام. السؤال التالي. لو عماد سألك تخرجي معاه في موعد، إيش هتقولي؟",واضحة! هقول إيوة! عماد أشهر ولد في المدرسة! اوكي دوري الحين. إيش هتسوي لو فزتي بالياناصيب؟
حتصير نص ليل! كل عام وانت بخير!,وانت بخير حبيبي,حيجي نص اليل! كل عام وانت بخير!,وانت بخير يحبيبي,في مشكلة؟,"إيوة، في مشكلة في سيارتي."
شو حتعمل اكل عالأفطار بكرا؟,شوربة وفتوش ومنسف,حتعمل اكل ايه بكرا عالفطار؟,شوربة و فتوش و منسف,أنا كنت مستني هنا من الساعة سبعة ونص. فين كنت؟,وربي آسف أني تأخرت. مو بيدي.
شو تسحرت؟,منقوشة جبنة وسجق,اتسحرت ايه؟,منقوشة جبنة و سجق,داليان مدينة جميلة. تتفق؟,أظن ايوة.
يا زلمة كتير عم ضيع وقت,شيل التلفون من ايدك وركز,يا راجل بتضيع وقت كتير,شيل التلفون من ايدك و ركز,تدري أنو مريم وباسم انفصلو؟,يب أدري.
شو مين شاغلك بالك؟,محدا محدا,مين شاغل بالك؟,محدش محدش,"أمل، أبوكي رهيب! عمره 90 سنة ويعيش لوحده في بيته الكبير",أدري. هو ما يحب يسأل الناس عشان يساعدوه. ويصر يدفع فواتيره الخاصة ويعتني بنفسه!
ايا ساعة حتنام؟,حصلي الفجر ونام,حتنام الساعة كام ؟,حصلي الفجر و انام,كيف حالك؟,بخير. سيبك مني. هذي حفلة يوم ملاد رهيبة. كل الشعب مستمتع.
ما تنسى تفرشي سنانك قبل ما تنام,ايه هياني قايم,ما تنسيش تغسلش سنانك قبل ما تنامي,اه اهو انا قايم,يوم ميلاد سعيد يا مريم!,شكراً. يوم كريسماس مجيد لك أنت برضو.
انتبه كتير تقال. احملن معك؟,لا بقدر احملن لحالي شكرا,خالي بالك تقال جدا. اشيلهم معاك؟,لا مقدرش اشيلهم لواحدي شكرا,كيف قابلت حبيبتك؟,تعرفت على أماني من واحد من أصحابي.
انت بتشتغل شي؟,لا بعدني تلميذ,انت بتشتغل حاجة؟,لا انا لسة تلميذ,في شي متوفر اليوم؟,في مقاعد في الميزانين اللي ورا.
طفي المكيف تلج قلبي!,كتير شوب البس عليك الكنزة,طفي التكيف تلجت!,حر جدا البس عليك قميص,ما شفت أبوك تقريباً من خمسة سنين. كيف حاله؟,مو كويس.
لازم نروح نمشي بعد الظهر,انسى تعبان من الصيام,لازم نروح نمشي بعد الضهر,انسى تعبان من الصيام,خواتم زواج!,"اا، لأ..."
انا مش جايي الأحد روحوا بلاي,ليش؟! القعدة ما بتحلا بلاك,انا مش جي الحد روحوا من غيري,ليه؟! القعدة ما بتحلاش من غيرك,ادخل بسرعة.,"دخلت، يلا!"
اذا ما بتقدر تجي الأحد منعملها السبت,بشوف وبردلكن خبر,لو ماقدرتش تيجي الحد نعملها السبت,اشوف و اردلكم خبر,سمعت كثير عن اليابان. هل هو بلد جميل؟,"مو كل الناس تحسب اليابان بلد جميل. بس بالنسبة لي جماله أخَّاذ. زي فرنسا بالنسبة لك، صح؟"
حتسلم الفرض عالوقت؟,ايه. حتكون صعبة عليي بس لازم اعملوا,حتسلم الواجب عالوقت؟,اه. حتكون صعبة عليا بس لازم اعملوا,ما أدري ليش محمد دايماً يجي يطلب من النصيحة. أحس في شي غلط.,هو إنسان ماكر. يبغى يسمع منك مجاملات. بس يمكن هو مكرش عليك.
انا ما بعتب عليك بعتب عالظروف,حبيبي ما تواخذني,انا بعاتبش عليك في الظروف ديه,حبيبي ماتأخذنيش,هلا. ليش شكلك كئيب كذا اليوم يا محمد؟,أمس اتخاصمت مع جاري.
ماما انا ضاهر بدك جيب معي شي؟,جيب ربطة خبز للغدا,ماما انا خارج عايزة اجبلك حاجة معايا؟,جيب كيس عيش للغدا,أحسن لنا نروح الحين.,لسا بدري.
شو بدكن تتغدو؟,بابا راح يجيب فروج,عايزين تتغدوا ايه؟,بابا رايح يجيب فراخ,عمي اتوفى أمس.,تعازي.
بس تروحي تجيبي اللحمة بدك تاخديني معك,ليش؟ قلي شو بدي جبلك مش ضروري تروح,اول اما نروحي تجيبي اللحمة خديني معاكي,ليه؟ قلي عايز ايه اجبلك مش ضروري تروح,"يا داليا، في رأيك إيش أحسن IQ ولا EQ?",ليش تسألني السؤال الغريب ذا يا جهاد؟
على ايا ساعة الأفطار,عالساعة سبعة,على انهي ساعة الفطار,عالساعة سبعة,يلا! خلاص لازم نمشي!,دقيقة! ريلاكس شوي! ليش مستعجل أصلاً؟
تروح تلعب فوتبول بعد الأفطار؟,انسى ما بكون الي خلق اتحرك بعد الأفطار,تروح تلعب كورة بعد الأفطار؟,انسى مابيكنش ليا خلق اتحرك بعد الأفطار,كيف الشغل؟,نص نص.
شو علقان مع الحلاق؟,لا مش عم روح لعندو بسبب الكورونا,ايه متخانق مع الحلاق؟,لا مش بروح عنده بسبب الكورونا,أخيراً خلص الفيلم الخايس ذا. المرة الجاية أنا هختار الفيلم اللي هنشوفه. ما أبغى أشوف أفلام بنات.,كانت أنت تختار طيب. أنت دايماً تشتكي بس في الأخير.
صليت؟,لا بعد شوي بقوم,صليت؟,لا بعد شويا حقوم,إيش اللغات اللي تتكلمها؟,"درست الفرنسي في المدرسة، بس نسيت أغلبها. أتعلمت شوية روسي لمن كنت أدرس هناك والحين أدرس إسباني في الدروس المسائية. أنت تتكلم ياباني في البيت ما الأهل؟"
ليش شكلك تعبان؟,بعدني مش نايم,ليه شكلك تعبان؟,لسة مانمتش,ليش ما كلمتني أنو عندك حبيبة؟,"آسف، حسبتك تدري."
يلا فيق بدي ابعتك عالمصبغة,يلا قمت قمت,يلا اصحى عايز ابعتك على المصبغة,يلا قايم قايم,"ها، طلعت فيلم مع رامي؟","إيوة، رحنا السينما يوم السبت. شفنا فيلم Police Partner II."
مين حينزل يجيب بيّك من المطار؟,يمكن عمو ينزل,مين حينزل يجيب ابوك من المطار؟,يمكن عمو ينزل,تحب تشتغل ولا تواصل دراستك بعد التخرج؟,أظن أني هواصل دراستي. حالياً صعب لخريج بشهادة بكالوريوس أنو يلقى شغل بما أنو في خريجين كثير من حملة الماجستير والدكتوراة. غالباً هنخسر المنافسة ضدهم في سوق العمل.
يلا قوم حضر حالك لنروح نكزد شوي,يلا بس لألبس عليي,يلا قوم حضر نفسك عشان نروح نتمشى شوية,يلا بس البس حاجة عليا,صعب نلقى تذاكر للفيلم.,قدرت تحصل شي؟
ليش حابس حالك بل الغرفة؟,عم ادرس مضغوط,ليه حابس نفسك في الاوضة ديه؟,بذاكر مضغوط,كانت نهاية أسبوع رهيبة!,نفس شعوري.
بدك تاكل بطاطا مقليّة؟,لا ما بدي. بدي اكلها مسلوقة,عايز تاكل بطاطس مقلّية؟,لا مش عايز. عايز اكلها مسلوقة,أظن حفلة أنس هتكون رهيبة.,"يب، حتى أنا. بالمناسبة، أبغى أسئلك شي."
وين بدك تحضر الماتش اليوم؟,بالبيت. ما الي نفس شوف حدا,عايز تتفرج على الماتش فين انهردة؟,في البيت. ماليش نفس شوف حد تاني,"هلا سيد ياسر، مستمتع بمنافسة الطبخ؟ شكلك مو مبسوط.","اليوم الصباح كنت في المقبرة، أضع الزهور على قبور زملائي من الحرب."
ليش معصب؟,مش معصب حل عني,ليه متعصب؟,مش متعصب سبني في حالي,أمس رحت حفلة سوبر جونيور. كانت رهيبة.,من جد؟ أغانيهم مشهورة في آسيا حالياً. وأنا معجب كبير بيهم.
شفتيلي وين حطيت علبة الدوا؟,لا ما شفتا,شفتيلي حطيت علبة الدوا فين؟,لا ما شفتهاش,أنا متوتر شوي من التقديم حقي يوم الجمعة.,"لو تبغى، أنا ممكن أساعدك."
سوق على مهلك وما تتأخر,حاضر. جبلك معي شي؟,سوق على مهلك و ما تتأخرش,حاضر. اجبلك معايا حاجة؟,"لو عندك الخيار، هتتزوج وحدة أجنبية ولا صينية؟",ليش؟ هل أمجد اتقدم؟
بدي نام معش اطلع صوت,مش عم طلع صوت,عايز انام مطلعش صوت,مش بطلع صوت,فين أمجد؟,نايم في غرفة النوم.
انا عم فكر ابقى انا و ياك سهرانين للصبح,ايه مش غلط,انا بفكر ابقى انا و انت سهرانين للصبح,اه مش غلط,هلا أماني.,هلا. شكلك متحمس. إيش صار؟
عم تحكي حدا من اصحابك؟,لا ابدا مش عم يكون عندي وقت,بتكلم حد من اصحابك,لا ابدا مش بيكون عندي وقت,لازم أروح أنام. عندي شغل بكرة.,طيب. تصبح على خير. نام كويس.
صباح الخير يا حلو,يسعدلي هالصباح يا قمر.,صباح الخير يا حلو,صباح السعادة يا قمر.,اتسائل لو نقدر ننظم حفلة عشا لكل الزملاء من قسمنا. هم مجتهدين في شغلهم هذي الأيام. يمكن جا الوقت نخلي الناس تسترخي.,"فكرة حلوة، عجبتني. متى تشوف هيكون وقت مناسب؟"
شو كيفك شو اخبارك؟ كيفو بيّك؟,الحمدلله بسلم عليك,ايه عامل ايه ايه اخبارك؟ عامل ايه ابوك؟,الحمدلله بيسلم عليك,اليوم يوم إيش؟,اليوم الخميس.
خلي قلبك قوي وما تخلي شي يهزمك,حبيبي انشالله,خلي قلبك قوي و ماتخليش حد يهزمك,حبيبي انشاءالله,تقدر تجي معانا في نزهتنا يوم السبت؟,عادي. فين رايحين؟
لوين رحت ؟,هون بالضيعة عم اعمل رياضة,رحت فين ؟,هنا في القرية بعمل رياضة,"يا حسين، إيش تسوي هنا؟ مو المفروض تكون في المدرسة الحين؟",نفس السؤال لك.
كم امتحان عندك؟,عندي خمسة,عندك كام امتحان؟,عندي خمسة,تعرف يحيى؟,يحيى مين؟ ولد سيد ياسين؟
ايمتى بتخلص جامعة؟,بعد اسبوعين,امتى بتخلص جامعة؟,بعد اسبوعين,أنت سويت وجبة تعبانة. خليني أجبلك سمك زيادة.,لا شكراً. أكلت كفاية.
سكر هيدا الباب,ليش بدي سكرو؟,اقفل الباب ده,اقفلوا ليه؟,صباح الخير. أبغى أقدم طلب لبطاقة المكتبة.,هات 10 يوان وبطاقة الهوية وصورة لك لو سمحت.
شو كيف كان درس الخياطة اليوم؟,حلو اتسليت,ايه كان عامل ايه درس الخياطة انهردة؟,حلو اتسليت,أنا فخور بيحيى.,حتى أنا. محد اتوقع أنه هيقدر ينجح بشغله.
لازم نروح بكرا نسلم على جدو,ايه لازم,لازم نروح بكرا نسلم على جدو,اه لازم,إيش رايك بالخطة للمطار الجديد القريب من هنا؟,يمكن لازم يفكرو بالموضوع مرة ثانية. الشكان يحتجون عليه.
كم وحدة بعد عندك؟,حوالي الأربعين,عندك كام وحدة لسة؟,بعد اسبوعين,إيش رايك بالموقف ذاك اللي يسووه الكوميديين كل نهاية أسبوع؟,صراحة ما أفكر بهم كثير.
شو في ما في؟,ما في شي,ايه الاخبار؟,مافيش,ممكن أدعوك لرقصة؟,بكل سرور.
شو مفروض نعمل هلأ؟,ما شي. منّا ننطر الفرج,المفروض نعمل ايه دلوقتي؟,ولا حاجة. حنستىى فرج الله,ممكن نستلف شاحنة الشركة عشان نجمع تبرعات في هذا الأسبوع.,احتمال ممكن. التبرعات لإيش؟
شو جاهز للسفر؟,ايه بس متوتر شوي,ايه الي جاهز للسفر؟,اه بس متوتر شوية,خمن شفت مين أمس؟,"ما أدري، مين؟"
خلينا ننزل عالبستان انقطف ليمون,ماشي يلا انا جاهز,خلينا ننزل على البستان نقطف لمون,ماشي يلا انا جاهز,تقدر تسلفني خمسين دولار؟,إيش؟ مرّة ثانية؟ كيف تخلص فلوسك بسرعة؟
وين منا نزبط دولاب السيارة؟,هون أول الطريق في بنشرجي,حنزبط عجلة العربية امتى؟,هنا أول الطريق فيه ميكانكي,كيف برايك ممكن نحسن نظام المواصلات في مدينتنا؟,أظن أنو نظام المواصلات العامة ممكن يصير أبسط. صراحة  أنا ما أعرف فين مسار الباص بالظبط. المسارات تلتف وتدور بدل ما تكون خط مستقيم.
ايا ساعة بدك تتحمم؟,بعد شي ساعة,حتسحمى الساعة كام؟,بعد حوالي ساعة,اليوم يوم إيش؟,"اليوم ديسمبر الثالث والعشرين، ألفين واثنين"
مش طايقك,ليش انا شو عاملك؟,مش طايقك,ليه انا عاملك ايه؟,"أنت جديد هنا، صح؟",إيوة.
شو هالتفكير الي عليك! بقرف!,احترمي حالك,ايه التفكير الي عليك ده! يقرف!,احترمي نفسك,العريس شكله متوتر شوي.,في المناسبة هذي أغلب الناس يصيرلهم نفس الشي.
تعى اسقي الزريعات,ما الي خلق,تعالى اسقي الزرع,ماليش خلق,ياسمين هترجع هولندا الأسبوع الجاي. صرت أفكر كثير إيش أعطيها كهجية وداع. لسا ما عندي أي فكرة.,ذيك البنت اللي قضيت معها كل نهاية أسبوع تقريباً؟
هيدي كهربا الدولة او الأشتراك,الدولة. اجت عالساعة ستة,ديه كهربة الدولة ولا الأشتراك,الدولة. الساعة جت ستة,جاتك دعوتك ؟,دعوتي؟ لأ ما جاتني. دعوتي لإيش؟
يلا تعى عالأكل,مش جاي عبالي,يلا تعالى عالأكل,مش جي على نفسي,زرت شيان قبل كذا؟,رحت هناك كذا مرة في رحلة عمل. بس ما شفت محاربين التراكوتا بما أنهم برا المدينة.
تعبان من كل شي وما الي خلق عشي,كلن بعد اسبوعين ومنخلص,تعبان من كل حاجة و ماليش خلق على حاجة,كلها اسبوعين و نخلص,بكرة الأحد. خلنا نطلع ونشم هوا.,في مزرعة جميلة قريبة من تايبيه. تبغى نروح هناك؟
نعسان بدي نام,قوم مين مانعك,نيمان جدا عايز انام,قوم مين مانعك,كيف حالك؟,"بخير، أتمنى أني أقدر أقول نفس الشي عن صاحبي."
قلتلك بدي المنقوشة مشروحة ليه جايبها هيك؟,نسيت قلو يشرحها,قلتلك عايز المنقوشة كبيرة ليه جايبها كدة؟,نسيت اقله يشرحها,"يا سيدي، احنا بنطلب من جميع ضيوفنا أنهم يلبسو جاكيت وربطة عنق في مطاعمنا.",من جد؟ ما كنت أدري. أقدر أتسلف جاكيت وربطة عنق؟
"الو, تفضل كيف فيي اخدمك؟",عمال معروف بدي وصي عمناقيش للسحور,"الو, اتفضل ممكن اخدمك اذاي؟",اعمل معروف عايز اطلب مناقيش على السحور,تعرف إيلاف؟ طلع أنو نحنا الاثنين نحب الفنان نفسه.,يب صحيح. أظن أنو عندنا نفس الذوق الموسيقي.
ليش عم تبكي؟,"مش عم ابكي, عيوني مدمعين من البصل",بتعيط ليه؟,"مش بعيط, عيوني مدمعة من البصل",يا ريت كان عندي قدرة أدخل المكتبة.,إيزي! جيب بطاقة.
لازم تروح تزور بيت جدك,صح لازم نروح نزورن,لازم تروح تزور بيت جدك,صح لازم نزرهم,جاهز؟,لسا.
ايا ساعة عم تفيق؟,عم فيق شوي مأخر. ليش؟,بتصحى الساعة كام؟,بصحى متأخر شوية. ليه؟,هذا أخوك في القانون؟,"نعم، هو متزوج أختي من عشرة سنين."
خلصت شغل؟,لا ما خلصت بس اخد استراحة,خلصت شغل؟,لا ماخلصتش بس اخد استراحة,شكلك مرَّة مشغول هذي الأيام. إيش تسوي؟,عندي شغل كثير بعد إجازة عشر أيام.
ما بيسوى اتضلك تشتغل هيك لازم ترتاح,صح معك حق,مش كويس تفضل تشتغل كدة لازم ترتاح,صح معاك حق,فريقنا سجل هدف من شوي.,هذا المطلوب.
ليش متضايق شو في؟,مني متضايق ابدا,ليه متضايق في ايه؟,مش متضايق خالص,تبغى نتقابل الغدا يوم السبت؟,"آسف، ما أقدر. أنا مشغول."
شو بدي اسكبلك بصحنك؟,بدي فروج وفتوش,عايز احطلك ايه؟,عايز فرخة و فتوش,"يا علي، سلمى جالسة تبكي؟",تقدر تبعديها عني؟
تعملي فنجان نسكافيه؟,ايه حاضر,تعملي فنجان نسكافيه؟,اه حاضر,أنت جالس تنرفزني.,اهدي يا مدام.
كيفو بيك؟,منيح ماشي حالوا,عامل ايه ابوك؟,كويس ماشي حاله,تقدر تحكي لي عن المساعدة المالية؟,عن إيش بالظبط؟
جاي عبالي اكل بفتيك,نهار الأربعا بجيب من عند اللحام وبعملك,جي على بالي اكل بفتيك,نهار الأربع حجيب من عند الجزار و اعملك,كيف كانت حفلة مرام يوم السبت؟,ااـ أنا ما رحت. جلست في البيت مع أهلي.
بتقدر تنشرلي الغسيل؟,ايه اكيد,تقدر تنشرلي الغسيل؟,اه اكيد,كم درجة الحرارة اليوم؟, تقريباً 5 درجات مئوية.
حطيت الأكل للدجاج؟,ايه حطيتو و سكرت عليهن,حطيت الأكل للفراخ؟,اه حطيتوا و قفلت عليهم,لمن عرفت الموضوع أعطيته نظرات الشك من غير تفكير.,بس باسم مو إنسان سيء. أنا أعرف كل شي عنه.
سقيت الزريعات؟,ايه سقيتن,سقيت الزرع؟,اه سقتهم,"كاميليا، أنا والشباب شايفين أنو أنتي لازم تترشحي لرئاسة الصف الأول.",أنا؟ ليش أنا؟ ليش مو أنت؟
شو بدي جبلك من عند الخضرجي؟,جيب فواكه مشكلة,عايز اجبلك ايه من عند الخضارجي؟,جيب فواكه مشكلة,واو! شكلك زي الفار الغرقان! ما كنت تدري أنو في عاصفة رعدية اليوم؟,كنت عارف أنه هيكون في دش اليوم. بس ما كنت أدري أنها هتمطر بقوة كذا.
اديه عمرك؟,عمري تنين وعشرين سنة,قد ايه سنك؟,عندي اتنين و عشرين سنة,ليش الناس ذول يصيحون؟,شكلهم جو من المقابر. لأان اليوم يوم كنس المقابر.
انت من وين؟,ليش عم تسأل؟,انت منين؟,ليه بتسأل؟,اا...أمل؟,"احم، أهلين منار. أنا كنت..."
شو مشاريعك بعد التخرج؟,والله مش عارف بعد,ايه مشاريعك بعد التخرج؟,والله مش عارف لسة,ليش أنت مو في الشغل؟,أتصلت لهم وقلت أني مريض.
كنت ناوي اليوم بلش درس,وليش ما بلشت؟,كنت ناوي انهردة ابدا مذاكرة,و ليه مابدأتش؟,كيف شغَّال بحث الجامعة؟,ياخي صداع. ما عندي أي فكرة إيش أسوي.
شو عاملين دبيحة عالعيد؟,ما بعرف,عاملين دبيحة ايه على العيد؟,ماعرفش الدكتور قلناش لسا,جالس أقرر أروح لأي مدرسة.,تفكر بمدرسة عمومية ولا مدرسة خاصة؟
نشاالله بتقدم و بتنقبل,حبيبي شكرا,انشاءالله تقدم و تتقبل,حبيبي شكرا,"لو سمحت، بروفيسور. أنا ما هجي الكلاس الأسبوع الجاي.",هذا شي تقدر تأجله لوقت ثاني؟
ليك شفتيلي التليفون شي؟,لا ما شفتو. ايمتى ضيعتو؟,بقلك شفتيلي التليفون ولا ايه؟,لا ماشفتوش. ضيعه امتى؟,"إحساس غريب أني أكون هناك. أدفنك، بس هذا مو أنت.",رماد إلى رماد وغبار إلى غبار...
ناولني كيس المحارم,هياه حدك,ناولني كيس المناديل,اهه جمبك,جودة الهوا في المدينة ذي خايسة. مستويات التلوث عالية لدرجة أنو احنا المفروض ما نتطلع ثاني من غير أقنعة وجه!,أبخرة عوادم السيارات تسبب ضرر فظيع للبيئة.
بدي تنين كيلو ريش غنم وكيلو شقف للشوي,تكرمي عشر دقايق بكونو جاهزين,عايز اتنين كيلو ريش غنم و كيلو حتت للشوي,تسلمي عشر دقايق و يكونو جاهزين,إيش تبغى تسوي اليوم؟,مو متأكد. 
يلا قوم صارت الساعة سبعة,ليش شو في؟,يلا قوم الساعة بقت سبعة,ليه في ايه؟,"مريم، اهدي.",مستحيل. أنت خنتني.
حميلي الأزان بدي اتحمم,بس تيجي الكهرباء,شغلي السخان عايز استحمى,اول ما تيجي الكهربا,عندك مانع تسوي لي شي؟,هسوي لو في الإمكان.
حط الكمامة قبل ما تفوت,حاضر,حط الكمامة قبل ماتخش,حاضر,أستاذ الرياضيات حقنا عنده روح دعابة.,"بالعكس، أنا أشوفه مرة جِدّي."
والله البلد كلو غلا بغلا تعبت,انشالله بتهون,والله البلد كله غلا تعبت جدا,انشالله تهون,"لو أنت مو مشغول في عطلة نهاية الأسبوع، تحب نشوف فيلم؟",فكرة حلوة. إيش نشوف؟
جهز تيابك الوسخين بدي دور الغسالة,جاهزين. حطيتن بالسلة لي حد الحمام,جهز هدومك المتوسخة عايز اشغل الغسالة,جاهزين. حطتهم في السلة الي جمب الحمام,تقدر تسويلي خدمة؟,إيش؟ 
تساعدني بتنضيف البيت؟,اكيد هلأ ابمسح معك غبرة,تساعدني في تنضيف البيت؟,اكيد دلوقتي حمسح معاك التراب,عندي مقابلة الساعة وحدة ونص.,كيف أقدر اساعدك؟
تروح تجيب بوظة؟,ايه بروح يلا,تروح نجيب جيلاتي؟,اه نروح يلا,يقولو الحكومة هتشد على السياسة الجديدة.,متأكد من الكلام ذا؟
عالي الركوة عالنار لنعمل قهوة,عاليتها زمان وبلشت تغلي,عالي النار عالكنكة عشان نعمل قهوة,عاليتها من زمان وبلدأت تغلي,سمعت أنو زواج مريم ممكن يفشل؟,يب سمعت. قالو أنهم أخذو السواقين الاثنين للمستشفى. وواحد منهم محتاج عملية.
تشرب شاي او قهوة؟,في شاي اخضر؟,تشرب شاي ولا قهوة؟,فيه شاي اخضر ؟,في أي مقالات حلوة في جريدة اليوم؟,العناونين كلها عن الانتخابات الرئاسية في الولايات المتحدة. في شوية قصص ثانية في الصفحة الأولى.
كم يوم بعد عندك؟,اسبوع بالكثير,فاضلك كام يوم؟,اسبوع بالكتير,تقدر تتخيل قارب يدخل النهر؟,هذا ما هيكون شي كويس.
فيك تمضي هون؟,عطيني قلم,ممكن تمضي هنا؟,اديني قلم,أنا جالس أدور عن معلومات عن الإقامة في المنزل.,"أنا كنت في بيت ضيافة قبل كذا. في أول سنة لي في الولايات المتحدة، جلست مع عيلة. كانو طيبين."
ليش هيدا شايف حالو؟,ايه وكلو عشي فاضي,ليه شايف نفسه ده؟,اه وكله عالفاضي,هو لحقني إلين ما وصلت البيت!,هذي تقريباً خمسة مباني. وحول الزاوية برضو. فأكيد هو كان يلحقك.
اديه اليوم في بالشهر؟,اليوم عشرة الشهر,انهردة كام في الشهر؟,اليوم عشرة في الشهر,إيش كتابك المفضل؟, ذهب مع الريح.
ايمتى حتقبض معاشك؟,بخمسة الشهر,امتى حتقبض مرتبك؟,في خمسة الشهر,أقدر اساعدك؟,أبغى أشيك على هذي الكتب.
ليش بتضلك قلقان روق,رايق رايق مش قلقان,ليه بتفضل قلقان روّق,رايق رايق مش قلقان,كيف اخترت المواد لمن كنت مسافر؟,"سؤال جميل. اختيار المواد المناسبة والتخطيط الفعَّال لجدول الكلية جداً مهم للتقدم للهدف التعليمي. وعشان تسوي كذا بطريقة كويسة، لازم تستشير ناصح البرنامج أو المستشار الأكاديمي."
شو بدك تعمل بعد الأفطار؟,بدي كمل درس,عايز تعمل ايه بعد الأفطار؟,عايز اكمل درس,هل هي حاجة صعبة أنك تكون طالب أسود البشرة في الحرم الجامعي؟,"إيوة، بأكثر من طريقة. في صور نمطية كثير أضطر أتعامل معها بشكل يومي."
مين اجا لعنا؟,ولاد الجيران,مين جه عندنا,ولاد الجيران,تقدر تساعدني؟,إيش محتاج؟
دور السيارة وحميها عبين ما اضهر,يلا ماشي,دور العربية و سخنها على بال ماخرج,يلا ماشي,"يا يحيى، حصل شفت الأوبرا في بكين؟","إيوة، شفتها مرة."
معش زبطت معي ابدا,جرب بعد مرة,مزبطتش معايا ابدا,جرب كمان مرة,خلنا نلعب لعبة!,اوكي! إيش رايك بسكرابل؟
شو رأيك نروح نسهر عندك؟,ما عندي وقت والله,ايه رأيك نروح نسهر عندك؟,ماعنديش وقت والله,"هلا جمانة، كيف حالك في ذي الأيام.",كل شي بخير يا مهند. كيف حالك؟
تصبح على خير,وانت من اهل الخير,تصبح على خير,وانت من اهل الخير,شوف السيارة ذي. شغالة تمام وسعرها مقبول.,أنا ما انولدت امبارح؟
شو عم اتابع مسلسلات,مش عم تابع شي,بتاببع مسلسلات ايه,مش بتابع حاجة,"ها يا إيمان، كيف كان يومك؟",ما أظن أنك هتحب تسمع عن يومي.
ليش ساكت؟,شو بدك ياني قول؟,ليه ساكت؟,عايزني اقول ايه؟,تقدر تتكلم إنجليزي؟,إيوة أقدر. أتكلمه مرّة زين.
شو بلشتو شغل بالورشة؟,ايه وصرنا خالصين كمان,ايه بداتوا في الورشة؟,اه وخلصنا كمان,"أهلين منال، سمعتي عن داود؟","عن داود، لأ. ما سمعت شي."
لك تعبان وما الي خلق على شي,ليش صاير معك شي؟,ياعم تعبان ما ليش خلق على حاجة,ليه حاصل معاك حاجة؟,كيف ممكن توصف علاقتك مع مديرنا؟,عندنا علاقة عملة طيبة. بس عندنا مشكلة.
عم اتصل فيك ليش مش عم ترد؟,التلفون مش حدي,عمال بتصل بيك مش بترد ليه؟,التلفون مش جمبي,عيالك في أي مدرسة؟,هي الحين في مدرسة خاصة.
شو ايمتى حتبلش شغل؟,حبلش بخمسة الشهر,ايه امتى حتبدا شغل؟,حبدأ خمسة الشهر,"أنا مهتم بشقة جديدة جمب محل الضرائب، بس السعر جداً عالي، ما أظن أني هقدر أتحمل كلفته.",كم سعر المتر المربع؟ كم حجم الشقة؟
معك ورقة وقلم؟,لشو بدك ياهن؟,معاك ورقة و قلم؟,عايزهم ليه؟,أنا مرّة حبيت المسجل اللي سلفتني إياه من كم يوم.,مبسوط أنه عجبك.
دور هالتلفزيون لنحضر اخبار,يلا حاضر لح دورلك يا,شغل التلفزيون عشان نشوف الاخبار,يلا حاضر حشغلهولك,نبغى ناخذ لفة في بيتك.,"أكيد، ألحقوني لو سمحتو."
شو عاملين عشا؟,مناقيش عالصاج,عاملين عشا ايه؟,مناقيش على الصاج,فين هتقضي إجاتك الشتوية؟,"اا، هروح أقابل حبيبتي في تايلاند."
ليش بتضلك متشائم؟,مش بإيدي الوضع صعب,ليه بتفضل متشائم؟,مش بإيدي الوضع صعب,هلا سوسن! لي فترة طويلة ما شفتك!,كنت مشغولة مرَّة. كيف الحال؟
